沈望山：以前觉得她是神话 遥不可及 现在觉得神话都是人创造的 触手可及.,2018年3月6日
lilfishonline：听着喜欢的歌 走在淅沥的小路上 心想每个音乐人的努力到底是为了什么 自己的音乐被更多人听见吗还是为了什么东西,2018年4月18日
公子鲸：早上的阳光很饱满，上班路上打开歌单，心情跳跃，蹦蹦跶跶过马路，一路循环着到了公司，是不是春天到了，歌单要渐变成粉色了，那就这样俏皮地等你来吧。(ˊo̶̶̷ᴗo̶̶̷`),2018年3月13日
i听俄语歌：他我没记住，倒是记住你了，每次点开都有你,2019年1月1日
小月半biubiu：小城的微风吹着，坐在办公室的窗边，一抹阳光突然照进来，看着小盆栽在摇晃的时候，那一刻觉得是春天来敲门了。它有些调皮，有些阴晴不定，这就是春天的魅力呀，它让人怀有期待，期待细雨，也期待阳光，期待花开，期待所有新鲜的事物。塞上耳机也能感受到慢慢美好的生活，因为总有令人欣喜的旋律。,2018年3月13日
道玥：整堆整堆的本子堆积着，刚刚上完三节课，下午还有一节课。听着音乐放松一下下。虽然窗外阴雨绵绵，但是歌声给人以温暖的感受哟。,2018年3月20日
不饭你爱豆：发自内心感叹许嵩是娱乐圈不可多得的音乐人，他的态度与学识足以让人称赞,2018年6月5日
Apa-：现代人的生活被各种琐事困扰着，事业、爱情、亲情、友情…各种压力一同袭来，总是会让人忘记生活的美好。但这个歌单，在每周二，都像闹铃一般提醒我，生活中还有这么多美好，为什么不多一些感激，多一些微笑呢？加油吧！老天爷啊，是不会亏待乐观的人的！,2018年4月3日
南方的雨和鱼：每次能在榜单看到喜欢的歌就心里偷笑，但是在播放完之后跳入下一首歌时，不小心撞见陌生但是有些让人惊喜的旋律，好像心情也能够跟着飘荡起来哎,2018年4月3日
地壳游记：每次都超级期待这个歌单，因为会让我想起以前小时候在电视上看华语音乐排行榜的感觉，不过现在听反而变成了“听一下热门新歌免得自己落伍”,2018年7月3日
人见人爱花见花开的肉包包包包包：我家房间多，来吧,昨天12:17
账号注销是不可能注销的：官方的歌单，网易云中文用户都不止一亿了，播放量肯定超亿喽,昨天11:06
瓜小绿：恶心嘴脸,昨天10:56
瓜小绿：删我评论？什么意思？玩不起吗？,昨天10:56
今天又是爆肝的一天呢：吹爆艾米，紫罗兰永恒花园！,1月15日 21:06
信仰的超炮：每个星期都在换歌。,1月15日 17:26
Lost-frequencies：好的呢[多多耍酷],1月15日 14:52
Blue__Blues：(ÒωÓױ)！,1月15日 14:35
妖七的春天：那我也留,1月15日 14:32
Lost-frequencies：我知道呀 我只是在这留个脚印,1月15日 14:26
我管你是谁的谁：这一期不怎么样，没一首好听的,1月15日 14:08
睡觉不好吗Zzzz：好的摩托,1月15日 11:53
猫的圆眼镜：因为是闭着的,1月15日 10:52
个性的卓儿：帅,1月15日 08:48
carlvinking：这样的歌单，有几个亿播放量？是刷出来的么？,1月15日 08:28
继续找寻L：喜欢这个封面,1月15日 07:43
被世界遗忘的人YSnb：头一次见网易云官方推荐不要vip的歌单😂,1月15日 07:39
东学寒梅：7.1亿,1月15日 07:34
小翟4582：刘宇宁,1月15日 07:22
七彩猫咪：一亿！单曲循环播放❤️,1月15日 07:14
七彩猫咪：喜欢封面上酷酷的男孩❤️更喜欢他的歌声❤️,1月15日 07:12
FAQIT：我是从未来来的，10个亿了这个歌单！,1月15日 07:06
妖七的春天：他们是两年前评论的嘛,1月15日 07:04
御史firework：封面有点吓人,1月15日 06:52
哇仔小a萌：封面宁哥，爱了,1月15日 06:18
争斤论两花花冒：7.1亿 笑了,1月15日 03:08
表白成功-ing：7.1亿,1月15日 01:42
规律法官：现在7.5亿了,1月15日 01:41
感情最狗180715：刘宇宁好棒,1月15日 00:51
MD_快乐无忧f：新的文盲真幼稚,1月15日 00:44
MD_快乐无忧f：闭着眼睛的,1月15日 00:44
爱宁de：超喜欢这个封面，我老大我骄傲🤞🤞🤞,1月15日 00:43
ZZ2NN：都7.1亿了 下面各位弟弟,1月15日 00:39
KiritoXY2：封面很好看啊(○｀ε´○),1月15日 00:12
KiritoXY2：不喜欢就不要看，搞得谁逼迫你看一样,1月15日 00:09
___________XahZaT_007_：真的吗我很吃惊。真棒祝大家好运。努力。,1月14日 23:57
让他溜走：啊啊啊啊 刘宇宁《颠倒的梦》好棒！！！,1月14日 23:55
让他溜走：摩登 谢谢您嘞🙂🙂🙂,1月14日 23:54
Connie-思思：刘宇宁刘宇宁刘宇宁❤❤❤🥰🥰🥰,1月14日 23:54
Connie-思思：刘宇宁冲鸭,1月14日 23:52
昵称什么的以后再说：7.1亿 2022年1月20号留,1月14日 23:47
季节190603：7.1亿了,1月14日 23:29
84759475：7亿了,1月14日 23:07
求求你别再吃了啊啊啊：刘宇宁这歌好听啊,1月14日 22:57
旋涡鬼：现在7.1亿了,1月14日 22:52
hdmisne：￼7亿了,1月14日 22:46
最宝贝1911：我也这么觉得的,1月14日 22:38
上善若水Joy688：美轮美奂的音效加上完美的演绎不辜负这7个亿,1月14日 22:31
Missing-er：7.1亿了,1月14日 22:28
於欣诗：吹爆我京紫！,1月14日 22:24
Lost-frequencies：7.1亿,1月14日 22:05
Lost-frequencies：7亿了,1月14日 22:04
亥月二十：7.1亿了,1月14日 22:03
啊冷太难辽丶：七亿了,1月14日 21:59
disable伊文：七点一亿，一年涨六个亿，可以可以,1月14日 21:56
小熊三贱客52：七亿了,1月14日 21:54
徐徐桂回：第一首歌，迷幻的曲风，好听哦,1月14日 21:48
如何尽欢：封面的眼睛有点，。。。。看不清,1月14日 21:40
淼音1：真的不错哟好听,1月14日 21:38
凌云御茶：支持国产,1月14日 21:34
